iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
ISL,2010,9,2,63,Pan-Europe,Cluster 9: Pan-Europe
KEN,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
KGZ,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
KHM,2010,7,4,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
KIR,2010,7,4,64,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
LBR,2010,1,8,65,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
LBY,2010,8,9,2,Western Asia,Cluster 8: Western Asia
LSO,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
LUX,2010,6,1,66,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
LVA,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
MAC,2010,7,0,67,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MCO,2010,6,1,68,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
MDA,2010,0,6,14,Pan-Europe,Cluster 0: Pan-Europe
MDG,2010,6,1,2,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
MDV,2010,7,5,69,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MLI,2010,1,8,2,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
MLT,2010,7,4,70,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MMR,2010,7,4,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MNG,2010,0,6,71,Pan-Europe,Cluster 0: Pan-Europe
MUS,2010,6,1,72,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
MWI,2010,2,0,73,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
MYS,2010,7,4,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
NCL,2010,6,1,74,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
NIU,2010,7,4,75,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
NRU,2010,7,4,76,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
OMN,2010,7,5,2,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
PNG,2010,7,4,77,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
PYF,2010,6,1,78,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
REU,2010,6,1,79,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
SGP,2010,7,4,80,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
SLB,2010,7,4,81,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
SLE,2010,1,8,82,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
SWZ,2010,2,0,83,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
SYC,2010,2,0,84,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
TGO,2010,1,8,2,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
TLS,2010,7,5,85,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
TUV,2010,7,4,86,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
TZA,2010,2,0,87,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
UGA,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
VUT,2010,6,1,88,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
ZWE,2010,2,0,2,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
MRT,2010,6,1,89,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
NER,2010,1,8,90,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
GNB,2010,6,1,91,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
LIE,2010,9,2,92,Pan-Europe,Cluster 9: Pan-Europe
SMR,2010,9,1,93,Pan-Europe,Cluster 9: Pan-Europe
CHI,2010,9,0,94,Pan-Europe,Cluster 9: Pan-Europe
VAT,2010,6,1,95,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
GNQ,2010,1,8,96,Sub-Saharan Africa,Cluster 1: Sub-Saharan Africa
COM,2010,6,1,97,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
GRL,2010,9,2,98,Pan-Europe,Cluster 9: Pan-Europe
FRO,2010,9,2,99,Pan-Europe,Cluster 9: Pan-Europe
SHN,2010,9,0,100,Pan-Europe,Cluster 9: Pan-Europe
SPM,2010,6,1,101,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
WLF,2010,6,1,102,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
ESH,2010,6,1,2,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
FSM,2010,7,0,103,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MHL,2010,7,3,104,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MNP,2010,7,0,105,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
PLW,2010,7,0,106,South-Eastern Asia & Western Asia,Cluster 7: South-Eastern Asia & Western Asia
MYT,2010,6,1,107,Sub-Saharan Africa & Latin America,Cluster 6: Sub-Saharan Africa & Latin America
BES,2015,3,0,0,Caribbean,Cluster 3: Caribbean
ABW,2015,3,0,1,Caribbean,Cluster 3: Caribbean
CHN,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
COL,2015,5,0,3,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
CUW,2015,3,0,4,Caribbean,Cluster 3: Caribbean
DMA,2015,5,3,5,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
DOM,2015,3,0,6,Caribbean,Cluster 3: Caribbean
GRD,2015,5,3,7,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
GUY,2015,6,0,8,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
HTI,2015,3,0,6,Caribbean,Cluster 3: Caribbean
IND,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
JAM,2015,3,3,9,Caribbean,Cluster 3: Caribbean
NIC,2015,5,3,10,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
NLD,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
PER,2015,6,0,11,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
PHL,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
PRT,2015,7,0,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
SUR,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
SXM,2015,3,0,12,Caribbean,Cluster 3: Caribbean
TUR,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
USA,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
VCT,2015,5,3,13,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
VEN,2015,5,0,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
PAK,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
AFG,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
TJK,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
UZB,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
CIV,2015,2,7,14,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
AGO,2015,7,0,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
COD,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
COG,2015,7,4,15,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
CPV,2015,7,0,16,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
GIN,2015,2,7,14,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
MOZ,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
NAM,2015,7,4,17,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
RWA,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
STP,2015,7,0,18,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
TCD,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
ZAF,2015,7,4,2,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
ZMB,2015,7,4,19,Sub-Saharan Africa,Cluster 7: Sub-Saharan Africa
CAN,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
AIA,2015,3,0,20,Caribbean,Cluster 3: Caribbean
GBR,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
KNA,2015,3,0,21,Caribbean,Cluster 3: Caribbean
MSR,2015,5,3,22,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
VIR,2015,5,3,23,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
