iso3,year,louvain_community,leiden_community,gn_community
LUX,2010,1,3,45
LVA,2010,2,5,46
MDA,2010,2,5,0
MDG,2010,1,3,0
MDV,2010,0,1,47
MLI,2010,3,2,0
MLT,2010,0,1,48
MNG,2010,2,5,49
MUS,2010,1,3,50
MWI,2010,3,2,51
MYS,2010,0,1,0
OMN,2010,0,1,0
PNG,2010,0,1,52
SLB,2010,0,1,53
SLE,2010,3,2,54
SWZ,2010,3,2,55
TGO,2010,3,2,0
TLS,2010,0,1,56
TZA,2010,3,2,57
UGA,2010,5,6,0
VUT,2010,0,1,58
ZWE,2010,3,2,5
MRT,2010,1,3,59
NER,2010,3,2,60
GNQ,2010,3,2,61
COM,2010,1,3,62
FSM,2010,4,0,63
MHL,2010,4,0,64
PLW,2010,4,0,65
PAK,2015,0,4,0
AFG,2015,0,4,0
TJK,2015,5,1,0
UZB,2015,5,1,0
COD,2015,3,3,1
AGO,2015,3,3,1
COG,2015,3,3,2
CPV,2015,3,3,3
GIN,2015,7,6,4
MOZ,2015,3,3,5
NAM,2015,3,3,6
PRT,2015,2,2,0
RWA,2015,3,3,1
STP,2015,2,2,7
TCD,2015,3,3,8
ZAF,2015,3,3,0
ZMB,2015,3,3,9
CAN,2015,1,0,0
ALB,2015,5,1,10
GRC,2015,5,1,0
ITA,2015,5,1,0
MKD,2015,5,1,11
TUR,2015,4,5,0
USA,2015,1,0,0
ARG,2015,2,2,0
AND,2015,2,2,12
BEL,2015,2,2,0
CHL,2015,2,2,0
DEU,2015,5,1,0
ESP,2015,2,2,0
FRA,2015,2,2,0
GBR,2015,0,4,0
MAR,2015,2,2,0
NLD,2015,2,2,0
PHL,2015,1,0,0
URY,2015,2,2,0
ARE,2015,0,4,0
BGD,2015,0,4,0
BHR,2015,0,4,0
EGY,2015,0,4,0
ERI,2015,4,5,13
ETH,2015,3,3,0
IDN,2015,0,4,0
IND,2015,0,4,0
JOR,2015,4,5,0
KWT,2015,0,4,0
LBN,2015,4,5,0
LKA,2015,0,4,0
NGA,2015,7,6,0
NPL,2015,0,4,0
PSE,2015,4,5,0
QAT,2015,0,4,0
SAU,2015,0,4,0
SOM,2015,3,3,0
SYR,2015,4,5,0
THA,2015,1,0,0
TUN,2015,2,2,0
YEM,2015,0,4,0
ARM,2015,5,1,14
AUS,2015,6,7,0
AUT,2015,5,1,0
BGR,2015,4,5,0
BOL,2015,2,2,0
BRA,2015,2,2,0
CHE,2015,5,1,0
CHN,2015,1,0,0
COL,2015,1,2,0
CRI,2015,1,0,0
CUB,2015,1,0,0
CYP,2015,5,1,15
CZE,2015,5,1,0
DNK,2015,4,5,16
DOM,2015,1,0,0
DZA,2015,2,2,0
ECU,2015,2,2,0
EST,2015,5,1,0
GTM,2015,1,0,0
HND,2015,1,0,0
HRV,2015,5,1,0
HTI,2015,1,0,0
HUN,2015,5,1,0
IRL,2015,0,4,0
IRN,2015,0,4,0
ISR,2015,5,1,0
JPN,2015,1,0,0
KOR,2015,1,0,0
LAO,2015,1,0,0
LTU,2015,0,4,0
MEX,2015,1,0,0
MNE,2015,5,1,17
NIC,2015,1,0,0
NOR,2015,4,5,18
NZL,2015,6,7,0
PAN,2015,1,0,0
PER,2015,2,2,0
POL,2015,5,1,0
PRK,2015,1,0,19
PRY,2015,2,2,0
ROU,2015,5,1,0
RUS,2015,5,1,0
SEN,2015,2,2,0
SLV,2015,1,0,0
SRB,2015,5,1,0
SVK,2015,5,1,0
SVN,2015,5,1,20
SWE,2015,4,5,0
UKR,2015,5,1,0
AZE,2015,5,1,0
GEO,2015,5,1,0
IRQ,2015,4,5,0
KAZ,2015,5,1,0
TKM,2015,5,1,0
ASM,2015,6,7,21
FJI,2015,6,7,22
TON,2015,6,7,23
VNM,2015,1,0,0
WSM,2015,6,7,24
ATG,2015,1,0,25
BHS,2015,1,0,26
BLZ,2015,1,0,27
BRB,2015,1,0,28
DMA,2015,1,0,29
GHA,2015,7,6,0
GRD,2015,1,0,30
GUY,2015,1,0,0
JAM,2015,1,0,0
KNA,2015,1,0,31
LCA,2015,1,0,32
SUR,2015,2,2,0
TTO,2015,1,0,0
VCT,2015,1,0,33
BDI,2015,3,3,1
BEN,2015,7,6,0
BFA,2015,7,6,34
BIH,2015,5,1,0
BLR,2015,5,1,0
BRN,2015,0,4,35
BTN,2015,0,4,36
BWA,2015,3,3,37
CAF,2015,3,3,1
CMR,2015,3,3,1
DJI,2015,3,3,38
FIN,2015,4,5,0
GAB,2015,7,6,39
GMB,2015,7,6,40
KEN,2015,3,3,0
KGZ,2015,5,1,0
KHM,2015,1,0,0
KIR,2015,6,7,41
LBR,2015,7,6,42
LBY,2015,4,5,0
LSO,2015,3,3,0
LUX,2015,2,2,43
LVA,2015,5,1,44
MDA,2015,5,1,0
MDG,2015,2,2,0
MDV,2015,0,4,45
MLI,2015,7,6,0
MLT,2015,6,7,46
MNG,2015,5,1,47
MUS,2015,2,2,48
MWI,2015,3,3,49
MYS,2015,0,4,0
OMN,2015,0,4,0
PNG,2015,6,7,50
