model,dependent,predictor,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared,adj_r2,aic,bic,significant_95,year
year_2015,log_in_strength,const,-2.910313375139169,2.465779791176555,-1.1802811368449506,0.23955687373172765,-7.778219323486831,1.9575925732084931,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2015,log_in_strength,log_population,0.7806369507638811,0.05654099571007925,13.806565324153308,1.8205494107252996e-29,0.6690145543408555,0.8922593471869066,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,True,2015
year_2015,log_in_strength,log_gdp_per_capita,0.4141789521863184,0.14562306949298126,2.844185015659768,0.00500597273975223,0.12669204490524105,0.7016658594673957,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,True,2015
year_2015,log_in_strength,conflict_intensity,2.715467425262696e-05,2.2800313515121838e-05,1.1909781080254525,0.23534215715515316,-1.7857367042226076e-05,7.216671554747999e-05,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2015,log_in_strength,unemployment,0.010089150485523474,0.016314864979523884,0.6184023280723409,0.537147672116554,-0.022119414352465623,0.04229771532351257,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2015,log_in_strength,education_index,-0.03137349381314454,0.05648358136331315,-0.5554444859178502,0.5793295513955352,-0.14288254368302555,0.08013555605673646,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2015,log_in_strength,visa_openness_index,0.0028266983949409713,0.003040962422314804,0.9295407184904529,0.3539426274104088,-0.00317672458599951,0.008830121375881453,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2015,log_in_strength,climate_vulnerability,-3.600671608342326,2.2454656993852105,-1.6035299979546156,0.11069606388601504,-8.033636739276538,0.8322935225918853,176.0,0.6498253132944607,0.6352347013483965,574.6879801705709,600.0518521308761,False,2015
year_2020,log_in_strength,const,-4.406415181237305,2.377035661254739,-1.8537438260018952,0.06552926775762064,-9.099123782492908,0.28629342001829805,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2020,log_in_strength,log_population,0.8265742803664762,0.05609336945333981,14.735686025316168,4.4166875427348325e-32,0.7158355810706701,0.9373129796622822,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,True,2020
year_2020,log_in_strength,log_gdp_per_capita,0.48171542322155925,0.14824380402305665,3.2494809911019087,0.0013965858129783688,0.18905470064130353,0.774376145801815,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,True,2020
year_2020,log_in_strength,conflict_intensity,5.3962950980217706e-06,4.030022275760054e-05,0.13390236402611547,0.8936400514792107,-7.41638078695886e-05,8.495639806563214e-05,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2020,log_in_strength,unemployment,0.018938050271324086,0.016050489109144358,1.1799048703465749,0.23970609810109472,-0.012748587638467576,0.05062468818111575,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2020,log_in_strength,education_index,-0.016571850323900295,0.05936173367582865,-0.2791672226825165,0.7804598639687468,-0.13376290586698847,0.1006192052191879,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2020,log_in_strength,visa_openness_index,0.0013790045970448715,0.0029875889613963573,0.4615777521149844,0.644981246276347,-0.004519049287750639,0.007277058481840382,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2020,log_in_strength,climate_vulnerability,-3.2607292157963865,2.195538397074758,-1.4851615531483502,0.13937502926252462,-7.595128605875842,1.0736701742830688,176.0,0.670672898139562,0.6569509355620438,569.706396335616,595.0702682959212,False,2020
year_2025,log_in_strength,const,-7.00190086836567,2.9237456463765934,-2.394839262793994,0.017728112034060724,-12.773916226096016,-1.2298855106353246,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,True,2025
year_2025,log_in_strength,log_population,0.9326217671980219,0.061724571174942844,15.109408610628318,3.9721818607288925e-33,0.8107660328551174,1.0544775015409265,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,True,2025
year_2025,log_in_strength,log_gdp_per_capita,0.5627294337587492,0.1690391619415724,3.3289885449932246,0.0010712152336296115,0.22901482353134905,0.8964440439861493,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,True,2025
year_2025,log_in_strength,conflict_intensity,2.2185635633886595e-05,1.5349436619426965e-05,1.4453713308153222,0.15021637383604577,-8.116994832494691e-06,5.248826610026788e-05,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,False,2025
year_2025,log_in_strength,unemployment,0.03094697418826743,0.019451307294408877,1.5909971355582302,0.11349017030047713,-0.007453508620625639,0.0693474569971605,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,False,2025
year_2025,log_in_strength,education_index,-1.0880362017827698,1.5216800561163433,-0.7150229756967924,0.4755873029691188,-4.0921144342174225,1.9160420306518828,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,False,2025
year_2025,log_in_strength,visa_openness_index,0.003778268533131391,0.0034265641484263667,1.1026405371300412,0.2717603441107494,-0.0029864036651757186,0.0105429407314385,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,False,2025
year_2025,log_in_strength,climate_vulnerability,-1.2723438161764093,2.116995993720136,-0.6010138044430383,0.5486408236328344,-5.451685956676797,2.906998324323978,176.0,0.6679477536352452,0.654112243370047,606.5534378538516,631.9173098141569,False,2025
