iso3,year,climate_vulnerability
NAM,2013,0.48154237899459
NAM,2014,0.479831274128853
NAM,2015,0.478229315004604
NAM,2016,0.472744204098145
NAM,2017,0.45721279263477
NAM,2018,0.471991095958088
NAM,2019,0.471113637874608
NAM,2020,0.460257031741851
NAM,2021,0.459202894303039
NAM,2022,0.454471623224964
NAM,2023,0.454056125631941
NAM,2025,0.4469
NER,1990,0.6531
NER,1995,0.652554242766951
NER,1996,0.657934023332277
NER,1997,0.656012688547114
NER,1998,0.65631167983222
NER,1999,0.650480522533867
NER,2000,0.652017137144828
NER,2001,0.651353407019254
NER,2002,0.645821895977837
NER,2003,0.642366180769726
NER,2004,0.640185094455985
NER,2005,0.640370253330974
NER,2006,0.636156563451163
NER,2007,0.638504283782757
NER,2008,0.63788655713211
NER,2009,0.631067400532924
NER,2010,0.633753701586389
NER,2011,0.62971346588411
NER,2012,0.630239863248394
NER,2013,0.629676782847855
NER,2014,0.630158065960805
NER,2015,0.638779038652814
NER,2016,0.630497689644667
NER,2017,0.632401411257326
NER,2018,0.634311755800652
NER,2019,0.632172292951526
NER,2020,0.636210209976432
NER,2021,0.636363994623754
NER,2022,0.636150298318516
NER,2023,0.632980520703441
NER,2025,0.6324
NGA,1990,0.5374
NGA,1995,0.534217705720128
NGA,1996,0.533583216655698
NGA,1997,0.533052695399218
NGA,1998,0.532703786631925
NGA,1999,0.534072196716581
NGA,2000,0.53107653703819
NGA,2001,0.51940482360549
NGA,2002,0.515655850178669
NGA,2003,0.506717380992885
NGA,2004,0.50638117513677
NGA,2005,0.502593798972538
NGA,2006,0.501916906727077
NGA,2007,0.501913194096438
NGA,2008,0.496121018576662
NGA,2009,0.496339350989485
NGA,2010,0.493774097838235
NGA,2011,0.501718441995353
NGA,2012,0.498387895347374
NGA,2013,0.496801022106315
NGA,2014,0.49309484991801
NGA,2015,0.490498339431778
NGA,2016,0.489853259831972
NGA,2017,0.486859524765648
NGA,2018,0.480405365268941
NGA,2019,0.48323744397436
NGA,2020,0.482534841638638
NGA,2021,0.484804107635121
NGA,2022,0.481958060353424
NGA,2023,0.481084976726398
NGA,2025,0.4814
NIC,1990,0.4933
NIC,1995,0.479365221011963
NIC,1996,0.477158610111937
NIC,1997,0.472166883837597
NIC,1998,0.473346076739124
NIC,1999,0.469325087868036
NIC,2000,0.465385366348485
NIC,2001,0.473277310056627
NIC,2002,0.466331420420438
NIC,2003,0.471171006187319
NIC,2004,0.472313761927171
NIC,2005,0.471298209210827
NIC,2006,0.461875029624355
NIC,2007,0.46385479062054
NIC,2008,0.461196942284104
NIC,2009,0.45899284991777
NIC,2010,0.459271655887384
NIC,2011,0.459542647877554
NIC,2012,0.452815375388235
NIC,2013,0.452950662835275
NIC,2014,0.451364026740218
NIC,2015,0.447618301880381
NIC,2016,0.442697342501268
NIC,2017,0.444254072773178
NIC,2018,0.441915124836217
NIC,2019,0.443047130721158
NIC,2020,0.443666824280913
NIC,2021,0.442803772803319
NIC,2022,0.445967844566188
NIC,2023,0.445563118016567
NIC,2025,0.447
NLD,1990,0.3197
NLD,1995,0.327244062758629
NLD,1996,0.32697191664525
NLD,1997,0.330690875660776
NLD,1998,0.330617275189242
NLD,1999,0.334512837507255
NLD,2000,0.334830541540368
NLD,2001,0.336470721338788
NLD,2002,0.337943074616251
NLD,2003,0.341282174578489
NLD,2004,0.339249882617384
NLD,2005,0.342100112979137
NLD,2006,0.341405575946458
NLD,2007,0.339400698804063
NLD,2008,0.339960167378601
NLD,2009,0.343362929003179
NLD,2010,0.339401846541543
NLD,2011,0.33682012227623
NLD,2012,0.33778715779496
NLD,2013,0.339662083441348
NLD,2014,0.341038430662212
NLD,2015,0.342168905672133
NLD,2016,0.340229990159378
NLD,2017,0.341666755484654
NLD,2018,0.34569109624607
NLD,2019,0.349403851367768
NLD,2020,0.349538507617097
NLD,2021,0.346552502558627
NLD,2022,0.356583781278182
NLD,2023,0.353879572190633
NLD,2025,0.3572
NOR,1990,0.262
NOR,1995,0.262314387961089
NOR,1996,0.26283229551919
NOR,1997,0.262660065577147
NOR,1998,0.262449940235109
NOR,1999,0.262471384717166
NOR,2000,0.262613544094074
NOR,2001,0.261835039744422
NOR,2002,0.261448020850785
NOR,2003,0.260707229713438
NOR,2004,0.259262574846228
