dest_iso3,origin_iso3,year,migrant_stock,is_extrapolated
ZAF,ARG,1990,468.0,False
ZAF,BRA,1990,456.0,False
ZAF,CHL,1990,193.0,False
ZAF,COL,1990,20.0,False
ZAF,GUY,1990,11.0,False
ZAF,CAN,1990,1085.0,False
ZAF,USA,1990,2251.0,False
ZAF,AUS,1990,2208.0,False
ZAF,NZL,1990,793.0,False
ZAF,VUT,1990,11.0,False
ZAF,ASM,1990,6.0,False
BEN,TCD,1990,66.0,False
BEN,COG,1990,184.0,False
BEN,BFA,1990,1441.0,False
BEN,GHA,1990,1010.0,False
BEN,MLI,1990,127.0,False
BEN,NER,1990,10878.0,False
BEN,NGA,1990,6324.0,False
BEN,TGO,1990,11178.0,False
BEN,FRA,1990,180.0,False
BFA,BEN,1990,1028.0,False
BFA,GHA,1990,16008.0,False
BFA,MLI,1990,21430.0,False
BFA,NER,1990,4105.0,False
BFA,NGA,1990,1365.0,False
BFA,SEN,1990,906.0,False
BFA,TGO,1990,4328.0,False
CPV,MOZ,1990,29.0,False
CPV,AGO,1990,798.0,False
CPV,GAB,1990,5.0,False
CPV,STP,1990,1324.0,False
CPV,GMB,1990,4.0,False
CPV,GHA,1990,29.0,False
CPV,GIN,1990,30.0,False
CPV,MLI,1990,5.0,False
CPV,NGA,1990,43.0,False
CPV,SEN,1990,64.0,False
CPV,SLE,1990,11.0,False
CPV,CHN,1990,16.0,False
CPV,JPN,1990,2.0,False
CPV,TLS,1990,5.0,False
CPV,RUS,1990,29.0,False
CPV,UKR,1990,14.0,False
CPV,GBR,1990,7.0,False
CPV,ITA,1990,89.0,False
CPV,PRT,1990,566.0,False
CPV,ESP,1990,16.0,False
CPV,BEL,1990,7.0,False
CPV,FRA,1990,52.0,False
CPV,DEU,1990,12.0,False
CPV,LUX,1990,4.0,False
CPV,NLD,1990,29.0,False
CPV,CHE,1990,9.0,False
CPV,CUB,1990,36.0,False
CPV,MEX,1990,2.0,False
CPV,ARG,1990,4.0,False
CPV,BRA,1990,39.0,False
CPV,PER,1990,2.0,False
CPV,USA,1990,91.0,False
GMB,GIN,1990,9725.0,False
GMB,LBR,1990,67.0,False
GMB,MLI,1990,1944.0,False
GMB,MRT,1990,276.0,False
GMB,SEN,1990,34269.0,False
GMB,SLE,1990,623.0,False
GHA,ETH,1990,9.0,False
GHA,KEN,1990,2.0,False
GHA,RWA,1990,174.0,False
GHA,TZA,1990,3.0,False
GHA,CMR,1990,23.0,False
GHA,TCD,1990,2.0,False
GHA,COD,1990,9.0,False
GHA,DZA,1990,2.0,False
GHA,EGY,1990,10.0,False
GHA,BEN,1990,4476.0,False
GHA,BFA,1990,18937.0,False
GHA,GMB,1990,7.0,False
GHA,GIN,1990,30.0,False
GHA,LBR,1990,4528.0,False
GHA,MLI,1990,1065.0,False
